state_code,latitude,longitude,zip_code,city,name,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,hourly_mean,annual_mean,total_employees,labels
CA,37.78,-122.42,94107,San Francisco,Servio,2009-04-30,2022-04-26,2010-08-13,2013-03-06,1.29,3.85,1.39,4.24,11,2,9356180,47.99,99812.73,99813,1
NY,40.74,-73.98,10016,New York,Advaliant,2013-04-16,2009-05-04,2004-04-01,2004-04-01,-9.05,-9.05,-6.05,-3.88,6,1,100000,57.19,118953.34,118953,0
GA,33.78,-84.37,30309,Atlanta,Vocalocity,2007-01-01,2022-04-26,2009-01-28,2011-08-29,2.08,4.66,4.58,4.73,9,2,13600000,39.35,81845.79,81846,1
CA,37.78,-122.39,94107,San Francisco,Dapper,2006-10-01,2010-11-16,2007-12-01,2007-12-01,1.17,1.17,1.93,4.01,19,1,3000000,49.91,103816.66,103817,1
CA,37.79,-122.4,94104,San Francisco,SeeSaw Networks,2005-01-01,2012-01-01,2006-11-16,2011-06-23,1.87,6.48,,,4,5,21138876,49.91,103816.66,103817,0
CA,37.41,-122.09,94043,Mountain View,Skyrider,2003-01-01,2008-10-15,2006-10-23,2008-03-05,3.81,5.18,1.75,3.59,2,2,17000000,48.78,101468.42,101468,0
KY,38.05,-84.5,40507,Lexington,AwesomeTouch,2010-07-26,2022-04-26,2010-04-30,2011-06-01,-0.24,0.85,0.9,0.9,3,4,59700,33.84,70394.73,70395,1
CA,37.81,-122.48,94025,Menlo Park,Syncplicity,2008-11-03,2022-04-26,2008-10-31,2008-10-31,-0.01,-0.01,2.97,3.7,12,1,2350000,61.65,128220,128220,1
VA,38.88,-77.44,22031,Chantilly,Fortisphere,2006-01-01,2010-05-01,2007-11-19,2007-11-19,1.88,1.88,1,1,2,1,10000000,45.16,93943.69,93944,0
CA,37.42,-122.14,94306,Palo Alto,PlayerDuel,2011-01-01,2013-05-01,2011-09-05,2012-06-13,0.68,1.45,0,0,2,2,21189,32.57,67750,67750,0
MA,42.4,-71.25,2451,Waltham,Aveksa,2004-01-01,2022-04-26,2006-06-14,2009-02-25,2.45,5.16,7.67,8.22,7,3,28000000,45.78,95215.79,95216,1
CA,37.39,-121.97,95054,Santa Clara,PANTA Systems,2002-01-01,2011-02-14,2005-05-01,2005-05-01,3.33,3.33,,,0,1,9500000,48.78,101468.42,101468,0
CA,37.35,-121.97,95054,Santa Clara,Beceem Communications,2003-10-01,2022-04-26,2005-06-30,2009-04-22,1.75,5.56,2.25,2.25,5,3,69600000,47.64,99100,99100,1
VA,38.92,-77.21,22102,McLean,Trust Digital,2003-03-01,2022-04-26,2005-11-04,2009-07-29,2.68,6.42,2.84,7.24,11,3,23500000,26.42,54960,54960,1
OR,45.41,-122.73,97035,Lake Oswego,Sabrix,2002-01-01,2022-04-26,2006-06-21,2006-06-21,4.47,4.47,6.75,6.75,6,1,13000000,40.21,83635.27,83635,1
NY,40.74,-74,10011,New York,Panther Express,2005-01-01,2022-04-26,2006-07-25,2008-02-27,1.56,3.16,3,3.5,8,2,21750000,38.47,80030,80030,1
PA,40.6,-75.47,18106,Allentown,T-Networks,2000-01-01,2011-09-06,2005-02-28,2005-02-28,5.16,5.16,,,0,1,5750000,33.71,70110,70110,0
ME,42.65,-71.23,1876,Tewksbury,BlueNote Networks,2005-01-01,2022-04-26,2005-09-26,2006-03-06,0.73,1.18,0.16,0.16,1,2,23400000,34.22,71179.41,71179,1
CA,37.49,-122.23,94063,Redwood City,Predictify,2007-03-01,2009-08-01,2008-03-25,2008-03-25,1.07,1.07,0.84,3.99,4,1,4300000,49.91,103816.66,103817,0
CA,37.38,-121.97,95054,Santa Clara,OptiMedica,2004-01-01,2022-04-26,2008-03-26,2013-05-10,4.24,9.36,5.01,5.01,16,2,51000000,45.62,94894,94894,1
CA,37.32,-122.05,95014,Cupertino,Neterion,2001-01-01,2022-04-26,2006-02-24,2006-02-24,5.15,5.15,4,4,6,1,6480000,39.32,81790,81790,1
CA,37.48,-122.15,94085,Sunnyvale,Schooner Information Technology,2007-05-01,2022-04-26,2007-10-01,2009-07-24,0.42,2.23,2.23,4.34,8,2,35000000,61.65,128220,128220,1
CA,37.78,-122.42,94103,San Francisco,Yammer,2008-09-10,2022-04-26,2009-01-19,2012-02-29,0.36,3.47,3.34,5.19,38,5,142000000,61.65,128220,128220,1
TX,30.35,-97.8,78730,Austin,AlterPoint,2001-01-01,2022-04-26,2003-01-01,2005-01-17,2,4.05,6,6,4,3,26800000,41.18,85661.05,85661,1
CA,37.26,-121.78,95138,San Jose,Shocking Technologies,2006-01-01,2013-04-01,2007-04-17,2012-05-21,1.29,6.39,0,0,2,6,55900000,38.38,79840,79840,0
CA,37.39,-122.08,94040,Mountain View,Ribbit,2005-02-23,2022-04-26,2006-10-01,2007-12-17,1.6,2.81,3.43,7.41,14,2,11000000,32.57,67750,67750,1
CA,37.39,-121.97,95054,Santa Clara,StorSimple,2009-01-01,2022-04-26,2009-06-01,2011-06-23,0.41,2.47,3,3,19,3,31500000,61.65,128220,128220,1
NY,40.73,-73.99,10003,New York,Tripl,2011-05-17,2013-07-01,2011-05-20,2012-07-09,0.01,1.15,-0.02,1.23,5,3,900000,30.65,63740,63740,0
CA,37.26,-121.96,95008,Campbell,Sadra Medical,2003-01-01,2022-04-26,2004-06-17,2009-05-22,1.46,6.39,6.42,6.42,4,3,58000000,45.62,94894,94894,1
MA,42.49,-71.21,1803,Burlington,expressor software,2007-01-01,2022-04-26,2007-07-01,2011-12-19,0.5,4.97,1,4.51,10,4,29050000,45.78,95215.79,95216,1
CA,37.39,-121.97,95054,Santa Clara,Azaire Networks,2003-01-01,2011-12-29,2006-08-25,2006-08-25,3.65,3.65,,,2,1,21000000,48.78,101468.42,101468,0
NY,40.91,-73.84,10016,New York,Quigo,2000-01-01,2022-04-26,2004-03-01,2007-06-07,4.17,7.44,,,25,2,35000000,57.19,118953.34,118953,1
TX,33,-96.68,75082,Richardson,Navini Networks,2000-01-01,2022-04-26,2005-08-10,2006-06-21,5.61,6.47,4,4,3,2,30920000,33.52,69717.5,69718,1
CA,37.41,-122.02,94089,Sunnyvale,VirtualLogix,2002-01-01,2022-04-26,2004-01-01,2010-01-12,2,8.04,6.59,6.59,9,4,29288979,48.78,101468.42,101468,1
MA,42.66,-71.15,1810,Andover,Exit41,1999-01-01,2013-05-01,2007-02-04,2011-05-12,8.1,12.37,11.84,12.05,11,4,24200000,45.78,95215.79,95216,0
CA,37.41,-122.11,94040,Mountain View,HighlightCam,2009-07-27,2013-10-30,2009-06-01,2011-11-29,-0.15,2.34,0.06,1.58,8,2,3000000,32.57,67750,67750,0
CA,37.42,-122.08,94043,Mountain View,Kace networks,2003-01-01,2022-04-26,2005-07-25,2006-05-22,2.56,3.39,8.15,8.15,7,2,11000000,48.78,101468.42,101468,1
NY,40.73,-73.99,10014,New York,Thwapr,2007-01-01,2013-07-20,2009-01-01,2010-01-01,2,3,2.09,4.07,7,2,2000000,40.36,83955.55,83956,0
CA,37.32,-122.05,95014,Cupertino,Cloud.com,2008-01-01,2022-04-26,2010-01-01,2010-01-01,2,2,3.66,4.08,12,1,11000000,61.65,128220,128220,1
CA,37.45,-122.17,94063,Redwood City,"Wildfire, a division of Google",2008-07-01,2022-04-26,2008-12-01,2011-12-01,0.42,3.42,3.6,4.85,19,4,14100000,61.65,128220,128220,1
CA,37.66,-122.39,94080,South San Francisco,BioSeek,2000-01-01,2022-04-26,2007-05-23,2007-05-23,7.39,7.39,4,4,4,1,10000000,45.62,94894,94894,1
MA,42.41,-71.26,2451,Waltham,xkoto,2005-01-01,2011-10-01,2005-11-01,2009-01-26,0.83,4.07,2,2,3,3,11035000,45.78,95215.79,95216,0
MA,42.47,-71.26,2421,Lexington,Coradiant,2000-01-01,2022-04-26,2005-08-22,2005-08-22,5.64,5.64,8.01,11.33,9,1,12700000,38.12,79290,79290,1
CA,39.78,-100.45,94566,Pleasanton,QuantaLife,2008-01-01,2022-04-26,2010-12-13,2011-07-22,2.95,3.56,0,0,3,2,20757182,45.62,94894,94894,1
CA,37.4,-121.98,95054,Santa Clara,BroadLight,2000-06-01,2022-04-26,2005-11-17,2007-09-11,5.47,7.28,10.59,10.59,5,3,27000000,48.78,101468.42,101468,1
NY,40.74,-73.99,10016,New York,BBE,2004-04-01,2022-04-26,2008-01-01,2008-01-01,3.75,3.75,5.54,6.76,7,1,10000000,57.19,118953.34,118953,1
CA,33.92,-118.4,90245,El Segundo,TelASIC Communications,2001-01-01,2009-12-24,2005-03-22,2005-03-22,4.22,4.22,,,4,1,26000000,39.32,81790,81790,0
CA,37.38,-122.03,94086,Sunnyvale,Mobius Microsystems,2004-01-01,2022-04-26,2006-01-31,2007-12-10,2.08,3.94,-3,-3,3,2,20220000,38.38,79840,79840,1
NY,40.72,-74,10013,New York,Boonty,2001-03-01,2022-04-26,2005-07-07,2005-07-07,4.35,4.35,6.17,9.09,7,1,10000000,38.47,80030,80030,1
NY,40.74,-73.99,10010,New York,B-Side Entertainment,2005-04-07,2010-03-01,2006-10-11,2008-11-14,1.51,3.61,1.32,4.16,8,2,7350000,38.47,80030,80030,0
NY,40.74,-73.99,10010,New York,Fashism,2009-01-01,2013-09-27,2010-11-19,2010-11-19,1.88,1.88,1.66,3.02,5,1,1000000,44.08,91690,91690,0
CA,32.88,-117.21,92121,San Diego,Nirvanix,2007-07-01,2013-10-15,2007-09-18,2012-05-03,0.22,4.84,0.22,6.25,22,5,70000000,61.65,128220,128220,0
CA,37.78,-122.42,94133,San Francisco,Sweepery,2008-08-01,2011-06-29,2008-09-01,2009-12-01,0.08,1.33,,,6,2,500000,48.78,101468.42,101468,0
TX,30.31,-97.83,78746,Austin,Luminary Micro,2004-01-01,2022-04-26,2005-02-01,2007-08-23,1.09,3.64,3.5,3.5,2,3,44000000,51.57,107270,107270,1
CO,39.56,-104.87,80112,Englewood,ZettaCore,1999-01-01,2012-01-04,2009-05-11,2009-05-11,10.36,10.36,5.84,5.84,4,1,21000000,49.43,102820,102820,0
CA,34.08,-118.34,90038,Los Angeles,Clicker,2009-01-01,2022-04-26,2009-09-15,2010-02-18,0.7,1.13,1.45,2.21,12,2,19000000,40.82,84910,84910,1
CA,39.78,-100.45,94025,Menlo Park,iKoa,2006-01-01,2012-07-01,2007-06-05,2010-07-16,1.42,4.54,,,0,3,18700000,47.64,99100,99100,0
CA,37.63,-122.41,94066,San Bruno,SocialShield,2009-09-01,2022-04-26,2010-10-05,2010-10-05,1.09,1.09,1.61,2.17,6,1,10000000,48.78,101468.42,101468,1
FL,28.03,-82.65,33635,Tampa,LeisureLogix,2006-08-01,2012-09-04,2007-01-01,2007-01-01,0.42,0.42,,,5,3,5900000,36.92,76793.69,76794,0
NH,42.74,-71.49,3062,Nashua,AutoVirt,2007-01-01,2012-02-01,2007-01-01,2011-05-24,0,4.39,3.15,4.39,5,7,24300000,41.31,85915.27,85915,0
CA,37.38,-122.08,94040,Mountain View,Loopt,2005-01-01,2022-04-26,2005-06-01,2010-05-03,0.41,5.34,5.52,7.19,21,4,32006000,32.57,67750,67750,1
CA,37.32,-122.05,95014,Cupertino,Blue Lane Technologies,2002-01-01,2022-04-26,2005-02-01,2005-02-01,3.09,3.09,1,1,4,1,13400000,39.32,81790,81790,1
CA,37.78,-122.39,94107,San Francisco,Socialcast,2005-06-01,2022-04-26,2009-04-06,2010-03-31,3.85,4.83,4.96,7.26,18,3,9400000,61.65,128220,128220,1
MN,44.95,-93.1,55113,Saint Paul,Apnex Medical,2006-01-01,2013-05-01,2009-12-02,2012-09-24,3.92,6.73,,,3,3,44000000,38.16,79380.55,79381,0
PA,39.95,-75.16,19103,Philadelphia,MobileReactor,2010-01-01,2013-07-01,2011-10-24,2012-06-15,1.81,2.45,0.75,0.75,2,2,1175000,39.43,82012.63,82013,0
MA,42.5,-71.2,1803,Burlington,Vela Systems,2005-01-01,2022-04-26,2006-05-01,2010-09-02,1.33,5.67,2.5,5.67,4,3,12000000,45.78,95215.79,95216,1
CA,37.4,-122.03,94085,Sunnnyvale,FlowCardia,2002-01-01,2022-04-26,2007-08-30,2007-08-30,5.66,5.66,5,5,4,1,30000000,45.62,94894,94894,1
CA,37.78,-122.39,94107,San Francisco,Transpond,2007-01-01,2022-04-26,2009-02-04,2009-02-04,2.1,2.1,2.28,3.17,6,1,4100000,49.91,103816.66,103817,1
IL,40.12,-88.24,61820,Champaign,Caterva,2008-01-01,2013-06-01,2009-12-15,2011-07-06,1.96,3.51,3.5,3.5,1,2,2408500,27.92,58080,58080,0
NC,35.73,-79.18,27312,Pittsboro,Biolex Therapeutics,1997-01-01,2012-06-01,2005-01-07,2011-12-19,8.02,14.97,4,4,4,7,162264126,35.83,74532,74532,0
MA,42.38,-71.11,2140,Cambridge,Foldrx Pharmaceuticals,2003-01-01,2022-04-26,2010-06-15,2010-06-15,7.46,7.46,5.59,5.59,7,1,29000000,47.48,98770,98770,1
MA,42.36,-71.1,2139,Cambridge,MetaCarta,2001-01-01,2022-04-26,2005-09-08,2005-09-08,4.69,4.69,4.16,9.27,12,1,10000000,32.33,67240,67240,1
MA,42.49,-71.2,1803,Burlington,Viridity Software,2008-01-01,2022-04-26,2008-12-01,2010-08-19,0.92,2.63,2.95,3.97,5,2,15000000,45.78,95215.79,95216,1
CA,37.68,-122.4,94005,Brisbane,SARcode Bioscience,2006-01-01,2022-04-26,2006-12-01,2011-07-18,0.92,5.55,5,5,9,2,73000000,45.62,94894,94894,1
NY,40.73,-73.99,10013,New York,Lore,2011-03-01,2022-04-26,2011-06-27,2012-04-05,0.32,1.1,0.84,2.04,5,4,12123837,32.99,68621.82,68622,1
WA,47.61,-122.34,98101,Seattle,Pelago,2005-12-01,2022-04-26,2006-11-01,2008-05-27,0.92,2.49,2.58,5.38,18,3,22400000,32.03,66610,66610,1
CA,37.78,-122.42,94105,San Francisco,Desk,2009-01-01,2022-04-26,2010-04-15,2011-01-04,1.28,2.01,2.16,3.44,12,2,5700000,61.65,128220,128220,1
CA,39.78,-100.45,94025,Menlo Park,Trinity Biosystems,2002-01-01,2010-05-24,2006-07-18,2009-11-09,4.55,7.86,,,2,2,28500000,45.62,94894,94894,0
MA,42.58,-71.44,1886,Westford,Virtual Computer,2007-01-01,2022-04-26,2007-12-01,2009-01-26,0.92,2.07,2,2,9,2,21000000,45.78,95215.79,95216,1
NC,35.78,-78.64,27518,Raleigh,Oasys Mobile,1984-01-01,2012-05-21,2005-11-18,2005-11-18,21.9,21.9,24.68,24.68,1,1,8000000,38.93,80972.63,80973,0
CA,37.42,-122.21,94025,Menlo Park,Gamook,2008-01-01,2010-01-01,2008-03-16,2008-03-16,0.21,0.21,0.16,0.16,1,1,1500000,40.82,84910,84910,0
MA,42.37,-71.25,2453,Waltham,Quattro Wireless,2006-10-01,2022-04-26,2007-05-01,2009-03-17,0.58,2.46,2.5,5.09,17,3,28300000,45.25,94116.66,94117,1
CA,37.78,-122.42,94107,San Francisco,NewsBasis,2009-01-01,2012-12-16,2009-11-01,2009-11-01,0.83,0.83,,,3,1,545000,39.32,81790,81790,0
MA,42.56,-71.27,1821,Billerica,Nexx Systems,2001-01-01,2022-04-26,2005-09-29,2009-12-14,4.75,8.96,5,5,10,3,15247925,55.43,115300,115300,1
NY,40.76,-73.99,10003,NY,5min Media,2007-01-01,2022-04-26,2007-04-01,2009-07-23,0.25,2.56,2,4.78,11,3,12800000,38.47,80030,80030,1
IL,41.88,-87.62,60654,Chicago,MyCabbage,2010-03-01,2013-06-01,2011-03-24,2012-08-23,1.06,2.48,0,1.31,1,2,950000,34.37,71480,71480,0
CA,37.29,-121.95,95008,Campbell,TeleCIS Wireless,2000-01-01,2022-04-26,2006-01-01,2006-01-01,6.01,6.01,6.01,6.01,2,1,10000000,47.64,99100,99100,1
NY,40.73,-73.99,10013,New York,Snapette,2011-01-01,2022-04-26,2011-10-12,2011-10-12,0.78,0.78,0.34,2.49,5,1,1500000,44.08,91690,91690,1
CA,37.78,-122.42,94107,San Francisco,EmSense,2004-01-01,2011-11-01,2009-11-03,2010-12-10,5.84,6.95,5.92,6.38,6,2,13000000,38.38,79840,79840,0
NY,40.65,-73.95,11217,Brooklyn,MakerBot,2009-01-01,2022-04-26,2011-08-23,2011-08-23,2.64,2.64,4.1,4.93,6,1,10000000,36.31,75516.66,75517,1
NY,42.71,-73.2,10003,New York,Image Space Media,2008-01-01,2022-04-26,2010-01-19,2010-12-30,2.05,3,2,3.81,9,2,3915000,57.19,118953.34,118953,1
NY,40.65,-73.95,11222,Brooklyn,Wanderfly,2009-08-01,2022-04-26,2009-08-01,2011-02-01,0,1.5,1.58,3.17,7,2,1400000,20.33,42280,42280,1
TX,30.27,-97.75,78702,Austin,FameCast,2007-01-01,2010-01-01,2007-06-01,2010-03-30,0.41,3.24,0.41,6.8,5,3,9700000,27.3,56790,56790,0
CA,37.34,-121.89,95110,San Jose,Cassatt,2003-01-01,2022-04-26,2006-03-01,2006-03-01,3.16,3.16,2,2,6,1,15000000,48.78,101468.42,101468,1
CA,37.78,-122.39,94608,Emeryville,VirtuOz,2002-01-01,2022-04-26,2005-10-10,2012-04-01,3.78,10.25,10.03,11.03,18,4,38764000,61.65,128220,128220,1
CA,37.4,-122.08,94041,Mountain View,Nimbula,2008-01-01,2022-04-26,2010-06-23,2010-08-23,2.48,2.64,3.42,5.2,8,2,20750000,61.65,128220,128220,1
TX,30.27,-97.74,78730,Austin,Storspeed,2007-01-01,2010-03-04,2007-06-07,2007-06-07,0.43,0.43,2,2,6,1,13000000,41.18,85661.05,85661,0
NY,40.74,-73.99,10007,New York,SpaBooker,2007-11-01,2022-04-26,2008-01-01,2011-10-01,0.17,3.92,0,2.92,8,2,14700000,44.28,92095.55,92096,1
CA,37.42,-122.09,94043,Mountain View,Jajah,2005-01-01,2022-04-26,2006-03-01,2009-03-01,1.16,4.16,3,8.92,19,4,33000000,32.57,67750,67750,1
CA,37.4,-121.94,95134,San Jose,Baxano,2005-01-01,2022-04-26,2010-06-23,2010-06-23,5.48,5.48,,,5,1,30000000,42.67,88753.02,88753,1
TX,32.96,-96.71,75081,Richardson,RipCode,2006-08-06,2012-07-01,2006-11-01,2010-05-11,0.24,3.76,2.42,3.88,10,4,33000000,41.18,85661.05,85661,0
DC,38.89,-77.04,20005,Washington,VeteranCentral.com,2011-12-15,2013-07-01,2011-06-15,2011-06-15,-0.5,-0.5,,,1,1,150000,34.54,71840,71840,0
MA,42.38,-71.24,2452,Waltham,RippleFunction,2010-03-01,2013-06-01,2010-05-01,2010-05-01,0.17,0.17,0.59,0.59,3,1,20000,45.25,94116.66,94117,0
CA,37.4,-122.11,94040,Mountain View,Impeva,2004-01-01,2012-03-16,2008-11-03,2008-11-03,4.84,4.84,,,2,1,10000000,48.78,101468.42,101468,0
CA,37.29,-121.95,95008,Campbell,AdexLink,2010-08-16,2012-08-01,2011-06-10,2011-06-10,0.82,0.82,,,0,1,2000000,49.91,103816.66,103817,0
MA,42.5,-71.2,1803,Burlington,Certeon,2003-01-01,2013-02-01,2007-07-16,2012-05-01,4.54,9.34,2,2,2,2,19000000,45.78,95215.79,95216,0
CA,37.78,-122.42,94104,San Francisco,Applied Identity,2002-01-01,2012-01-01,2005-01-13,2008-10-01,3.04,6.75,4,4,2,3,33000000,49.91,103816.66,103817,0
CA,34.1,-118.33,90028,Hollywood,HelpMeRent.com,2010-10-01,2013-02-01,2011-08-01,2011-08-01,0.83,0.83,-0.17,1.19,5,1,154000,40.15,83515,83515,0
VA,38.92,-77.23,22182,Viena,DubMeNow,2008-01-01,2013-06-01,2008-08-01,2012-06-05,0.58,4.43,1.25,2.15,5,4,7516703,26.42,54960,54960,0
NJ,40.48,-74.63,8844,Hillsborough,Relationship Analytics,2012-08-01,2013-08-01,2013-04-05,2013-05-16,0.68,0.79,0,0,2,2,125000,48.14,100134,100134,0
CA,37.55,-122.32,94403,San Mateo,Etelos,1999-05-01,2013-01-01,2009-09-30,2012-05-29,10.42,13.09,8.98,12.72,4,3,4087500,61.65,128220,128220,0
CA,34.49,-119.81,93105,Santa Barbara,Make It Work,1995-01-01,2012-06-01,2005-11-15,2005-11-15,10.88,10.88,15.5,15.5,3,1,1000000,38.38,79840,79840,0
AZ,33.43,-111.94,85281,Tempe,FetchBack,2007-04-01,2022-04-26,2008-01-01,2008-01-01,0.75,0.75,3.17,4.62,13,1,1000000,31.2,64905,64905,1
OR,45.38,-122.76,97062,Tualatin,Wi-Chi,2008-01-01,2011-12-10,2008-05-15,2008-05-15,0.37,0.37,,,3,1,7000000,44.66,92890,92890,0
MA,42.36,-71.12,2139,Cambridge,Alnara Pharmaceuticals,2008-01-01,2022-04-26,2008-10-30,2010-01-28,0.83,2.08,1,1,4,2,55000000,47.48,98770,98770,1
CA,37.79,-122.29,60606,Chicago,Braintree,2007-10-01,2022-04-26,2011-06-29,2012-09-17,3.75,4.97,4.68,4.84,10,2,69000000,48.78,101468.42,101468,1
CA,39.78,-100.45,94040,Mountain View,Rhythm NewMedia,2005-01-01,2022-04-26,2010-11-10,2012-09-11,5.86,7.7,5.86,7.67,28,4,28932322,49.91,103816.66,103817,1
CA,37.5,-122.22,94063,Redwood City,Pearl Therapeutics,2006-01-01,2022-04-26,2008-07-03,2013-04-01,2.5,7.25,,,4,6,232000100,45.62,94894,94894,1
